word,mean_RT,acc,N_corr,N_wrg,Length(N_letters),NSyll,OLD,raw_KF,raw_CELEX,raw_BNC,raw_COCA,raw_ANC,raw_SUBTLEX-UK,raw_SUBTLEX-US,raw_HAL,raw_Worldlex,raw_Usenet,raw_BlogFreq,raw_TwitterFreq,raw_NewsFreq,raw_GB_AmE,raw_GB_BrE,zipf_KF,zipf_Celex,zipf_BNC,zipf_COCA,zipf_ANC,zipf_SUBTLEX-UK,zipf_SUBTLEX-US,zipf_HAL,zipf_USENET,zipf_WorldLex,zipf_Blog,zipf_Twitter,zipf_News,zipf_GB_AmE,zipf_GB_BrE,subj_Freq_ratings
gathered,802.36,0.986,71,1,8,2,1.9,32,655,2770,17755,416,3108,491,5341,2230,86143,954,81,1195,4640436,1328625,4.49,4.55,4.44,4.53,4.27,4.19,3.98,4.08,4.04,4.33,4.39,3.42,4.53,4.48,4.59,4.09
geese,838.98,0.639,46,26,5,1,2,3,85,398,2119,34,903,81,640,315,6447,149,54,112,398350,141115,3.57,3.66,3.6,3.61,3.19,3.65,3.21,3.16,2.92,3.48,3.59,3.24,3.5,3.41,3.62,2.63
generations,989.95,0.931,67,5,11,4,2.75,23,445,2133,14555,536,4404,305,8468,1687,109314,807,204,676,3264248,919887,4.35,4.38,4.32,4.45,4.38,4.34,3.78,4.28,4.15,4.21,4.32,3.82,4.28,4.32,4.43,4.71
gets,719.63,0.931,67,5,4,1,1.5,65,1760,7788,72883,3850,43974,11364,86927,20763,830052,7148,8269,5346,5033204,1064937,4.79,4.98,4.89,5.14,5.24,5.34,5.35,5.3,5.03,5.3,5.27,5.42,5.18,4.51,4.5,6.31
glasses,787.04,0.958,69,3,7,2,1.85,29,920,2496,15162,360,4745,1689,8546,2740,56602,1061,1118,561,2028233,495983,4.45,4.69,4.39,4.46,4.21,4.37,4.52,4.29,3.86,4.42,4.44,4.55,4.2,4.12,4.16,4.57
god,662.04,0.986,71,1,3,1,1.3,318,381,23747,121689,3340,47807,46061,129944,45810,3669749,25203,17881,2726,3531453,1502500,5.48,4.31,5.37,5.37,5.17,5.37,5.96,5.47,5.67,5.64,5.82,5.76,4.89,4.36,4.65,5.97
gold,681.53,1,72,0,4,1,1.35,52,1575,7792,42161,1208,25481,4026,53067,7734,342350,3270,1989,2475,11805706,4363291,4.7,4.93,4.89,4.91,4.73,5.1,4.9,5.08,4.64,4.87,4.93,4.8,4.84,4.88,5.11,4.69
good,597.47,1,72,0,4,1,1.4,807,16874,80795,476391,24447,454018,133117,628816,179517,6192764,48790,100879,29848,84344975,29354893,5.88,5.96,5.9,5.96,6.04,6.35,6.42,6.15,5.9,6.23,6.1,6.51,5.92,5.74,5.94,6.8
gospel,1028.48,0.347,25,47,6,2,2.7,13,50,1052,8077,163,1119,160,4360,2017,147983,1297,340,380,2375493,774725,4.12,3.44,4.02,4.19,3.86,3.74,3.5,4,4.28,4.28,4.53,4.04,4.03,4.19,4.36,2.06
government,750.06,0.986,71,1,10,3,3.55,417,6844,62268,225564,9481,116509,3327,172375,25323,2881180,8922,1343,15058,38040300,8830691,5.59,5.56,5.79,5.64,5.63,5.76,4.81,5.59,5.57,5.38,5.37,4.63,5.63,5.39,5.41,5.8
gross,795.62,0.917,66,6,5,1,1.75,66,386,2482,10559,580,2188,779,8314,2468,99467,734,987,747,3181345,884951,4.8,4.32,4.39,4.31,4.41,4.04,4.18,4.28,4.11,4.37,4.28,4.5,4.32,4.31,4.42,3.57
guys,702.32,0.958,69,3,4,1,1.7,20,333,1244,67635,2679,46722,32198,58720,31944,661366,4598,21063,6283,1406621,85095,4.3,4.25,4.09,5.11,5.08,5.36,5.8,5.12,4.93,5.48,5.08,5.83,5.25,3.96,3.4,5.63
habit,673.59,0.972,70,2,5,2,1.95,23,705,2274,9659,411,2197,738,6475,1905,78458,965,595,345,4538394,1590804,4.35,4.58,4.35,4.27,4.26,4.04,4.16,4.17,4,4.26,4.4,4.28,3.99,4.47,4.67,5.6
happen,624.9,0.986,71,1,6,2,1.95,63,2072,8760,72801,2572,42369,12968,66094,17027,731800,6270,6326,4431,6121893,1760441,4.78,5.05,4.94,5.14,5.06,5.32,5.4,5.18,4.97,5.21,5.21,5.31,5.1,4.6,4.71,5.6
having,643.64,0.972,70,2,6,2,1.55,279,6461,35275,151563,7599,84949,14752,166984,41473,1849070,17919,15033,8521,38996741,16153632,5.42,5.54,5.54,5.46,5.53,5.62,5.46,5.58,5.38,5.6,5.67,5.68,5.38,5.4,5.68,5.31
healthier,899.33,0.958,69,3,9,2,3.1,2,58,387,3757,80,723,64,1245,1143,21752,500,232,411,256177,58350,3.45,3.5,3.58,3.86,3.56,3.56,3.1,3.45,3.45,4.04,4.11,3.87,4.06,3.22,3.23,4.54
heard,677.31,0.986,71,1,5,1,1.6,247,5070,20210,121204,3982,46606,19775,133757,21799,975241,7817,9226,4756,22356445,7528324,5.37,5.43,5.3,5.37,5.25,5.36,5.59,5.48,5.1,5.32,5.31,5.47,5.13,5.16,5.35,5.6
heavy,630.38,1,72,0,5,2,1.9,110,2376,9484,45547,1222,16048,2412,32826,6608,640723,3046,1240,2322,11921747,3621600,5.02,5.11,4.97,4.94,4.74,4.9,4.67,4.87,4.92,4.8,4.9,4.6,4.82,4.89,5.03,5.34
hid,748.56,0.931,67,5,3,1,1.25,6,215,694,4444,71,1016,596,1605,509,30563,264,102,143,1265512,463028,3.82,4.06,3.84,3.93,3.51,3.7,4.07,3.56,3.59,3.69,3.84,3.52,3.61,3.91,4.13,4.06
highest,711.61,1,72,0,7,2,2.6,63,652,4859,26935,1261,9624,646,20611,4432,267211,1344,671,2417,8898557,2945014,4.78,4.54,4.68,4.71,4.75,4.68,4.1,4.67,4.54,4.63,4.54,4.33,4.83,4.76,4.94,4.63
himself,734.54,1,72,0,7,2,3.05,603,9113,31082,140087,3818,31239,7168,56572,14858,900900,6878,1599,6381,54760736,22233077,5.75,5.69,5.49,5.43,5.23,5.19,5.15,5.11,5.06,5.15,5.25,4.71,5.25,5.55,5.82,5.66
honey,666.74,1,72,0,5,2,1.75,25,371,1479,14888,293,7977,15325,9093,3603,59802,1514,1430,659,1619400,455081,4.39,4.3,4.17,4.46,4.12,4.6,5.48,4.31,3.89,4.54,4.6,4.66,4.27,4.02,4.13,4.77
hose,842.53,0.431,31,41,4,1,1.1,9,66,318,3566,108,716,411,3874,431,41223,192,115,124,686701,152254,3.97,3.56,3.5,3.83,3.69,3.55,3.91,3.94,3.72,3.61,3.7,3.57,3.55,3.65,3.65,1.51
human,649.29,0.958,69,3,5,2,1.9,299,5440,19584,140035,7505,23398,6363,180168,14750,2049867,7776,2832,4142,40061547,11105862,5.45,5.47,5.29,5.43,5.53,5.06,5.1,5.61,5.42,5.15,5.31,4.96,5.07,5.41,5.51,6.06
hybrid,867.19,0.75,54,18,6,2,2.85,1,63,620,6275,193,469,104,3827,1145,44278,315,247,583,743068,219430,3.27,3.54,3.79,4.08,3.94,3.37,3.31,3.94,3.76,4.04,3.91,3.9,4.22,3.68,3.81,2.71
implies,874.08,0.917,66,6,7,2,2.55,17,298,1978,5728,355,353,80,8152,513,80182,294,89,130,3206523,1069372,4.23,4.21,4.29,4.04,4.2,3.24,3.2,4.27,4.01,3.69,3.88,3.46,3.57,4.32,4.5,4.8
incredibly,939.69,0.931,67,5,10,4,3.9,7,190,805,9056,432,11173,668,8804,3056,264786,1810,719,527,450900,101438,3.88,4.01,3.9,4.24,4.29,4.74,4.12,4.3,4.53,4.46,4.67,4.36,4.17,3.46,3.47,4.54
induction,869.65,0.736,53,19,9,3,2.3,6,70,695,1793,736,194,37,1872,385,23159,75,77,233,1605865,507861,3.82,3.58,3.84,3.54,4.52,2.99,2.87,3.63,3.47,3.57,3.3,3.4,3.82,4.02,4.17,3.37
information,798.87,1,72,0,11,4,2.65,269,2968,38659,168187,10212,21811,4557,467659,20835,4365453,7744,2391,10700,35961556,8396647,5.4,5.2,5.58,5.51,5.66,5.03,4.95,6.03,5.75,5.3,5.3,4.88,5.48,5.37,5.39,5.91
installed,930.98,0.778,56,16,9,2,2.85,35,250,2069,9205,348,1719,230,50303,1720,290368,498,370,852,2245544,449650,4.53,4.13,4.31,4.25,4.19,3.93,3.66,5.06,4.57,4.21,4.11,4.07,4.38,4.16,4.12,3.83
international,1010.26,0.986,71,1,13,4,3.6,155,2188,22215,104202,3332,18638,725,105052,10866,1310287,3591,1440,5835,9237997,2788318,5.17,5.07,5.34,5.3,5.17,4.97,4.15,5.38,5.23,5.01,4.97,4.66,5.22,4.78,4.91,5.94
island,714.61,1,72,0,6,2,1.9,167,1209,6630,50041,2734,18560,2018,44872,7392,384480,2807,1493,3092,6289628,2859268,5.2,4.81,4.82,4.98,5.09,4.96,4.6,5.01,4.69,4.85,4.86,4.68,4.94,4.61,4.92,4.51
issue,681.26,1,72,0,5,2,2.05,152,1664,16455,114405,4398,30665,1741,117620,16176,1233801,5350,3022,7804,14234538,4011379,5.16,4.95,5.21,5.34,5.29,5.18,4.53,5.43,5.2,5.19,5.14,4.99,5.34,4.96,5.07,5.31
its,806.41,0.875,63,9,3,1,1.5,1858,27783,163106,714517,30620,119480,8757,388805,128354,5653656,33639,37114,57601,212818956,68617894,6.24,6.17,6.21,6.14,6.14,5.77,5.23,5.95,5.86,6.09,5.94,6.07,6.21,6.14,6.3,6.6
jaunt,1038,0.181,13,59,5,1,1.7,0,16,77,447,14,96,19,132,111,1730,56,19,36,53769,15926,2.97,2.96,2.89,2.93,2.83,2.68,2.59,2.48,2.35,3.03,3.17,2.81,3.02,2.54,2.67,1.63
jewel,911.34,0.653,47,25,5,1,1.95,1,50,367,2679,92,1164,369,1980,417,14434,171,85,161,427264,167580,3.27,3.44,3.56,3.71,3.62,3.76,3.86,3.65,3.27,3.6,3.65,3.44,3.66,3.44,3.69,4.4
jingle,977.3,0.472,34,38,6,2,1.6,0,28,108,771,37,918,258,439,313,4993,123,153,37,106099,31792,2.97,3.19,3.03,3.17,3.23,3.66,3.71,3,2.81,3.48,3.51,3.69,3.03,2.84,2.97,2.34
